i,j,lag,group_i,group_j,slope,intercept,adf_p,ou_hl,fA_sharpe,fA_pnl,fB_sharpe,fB_pnl,min_fold_sharpe,combined_pnl,combined_sharpe,sharpe_x_sqrt_pnl
PEBBLES_M,ROBOT_IRONING,100,pebbles,robot,-0.7289481998161417,16609.41297806013,0.0059725664666683,733.59111656282,1.4476769583339328,1840.4742578731368,1.0928854332992637,544.1053379834539,1.0928854332992637,2384.5795958565905,1.2702811958165983,62.03057129010997
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,1,galaxy_sounds,uv_visor,0.3725008942252533,6144.994437218317,0.0003454195189722,525.1471664198731,1.5921554779217009,1540.505112352179,2.0139951121380224,824.3700464997164,1.5921554779217009,2364.8751588518953,1.8030752950298616,87.68351931865
MICROCHIP_CIRCLE,OXYGEN_SHAKE_CHOCOLATE,20,microchip,oxygen_shake,0.7901625693229987,1663.4791606526774,0.0058843472569508,750.6967913839893,0.7619855453487306,566.2147977816658,1.844752268990478,1792.6160071184077,0.7619855453487306,2358.8308049000734,1.3033689071696044,63.301755150567935
UV_VISOR_AMBER,SLEEP_POD_POLYESTER,1,uv_visor,sleep_pod,-0.959518962160613,19272.865267578487,0.0054171422635578,847.5066608783808,1.168399173013791,1294.1237157162268,1.2312438121753084,1045.4551157622773,1.168399173013791,2339.578831478504,1.1998214925945496,58.03439734094382
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,20,galaxy_sounds,uv_visor,0.3717316422735988,6153.3682394740235,0.0003666566634359,534.9156202746259,1.5515834269829305,1491.9818966464536,1.9467942693228009,836.3053858849307,1.5515834269829305,2328.2872825313843,1.7491888481528657,84.40243630272
PEBBLES_M,ROBOT_IRONING,1,pebbles,robot,-0.7284352781218678,16601.803879151346,0.0028601302254436,725.3636089100856,1.366596987246718,1781.738691966024,1.110955219850254,541.490469468532,1.110955219850254,2323.229161434556,1.2387761035484859,59.708868911249375
PEBBLES_M,ROBOT_IRONING,5,pebbles,robot,-0.7284392640470874,16601.955772478315,0.0036530836060841,715.5225175560572,1.3535291212008802,1768.4670185971972,1.1677800230121025,554.3439264047101,1.1677800230121025,2322.8109450019074,1.2606545721064912,60.757939222833926
PANEL_2X4,PEBBLES_S,1,panel,pebbles,-0.624170797571384,16840.749405625695,0.0008249733628461,787.2364953113146,1.3993422707217669,1348.9775067510636,1.5473934075307247,973.8216166944876,1.3993422707217669,2322.7991234455512,1.473367839126246,71.009591213558
PEBBLES_M,ROBOT_IRONING,20,pebbles,robot,-0.728455173325091,16602.54056515899,0.0023865231212697,725.3507635525438,1.3584601724994392,1768.7113109280565,1.1414691059934348,552.8455173325092,1.1414691059934348,2321.5568282605655,1.249964639246437,60.22646691499304
OXYGEN_SHAKE_CHOCOLATE,MICROCHIP_CIRCLE,100,oxygen_shake,microchip,0.8690837811006891,1550.403811444466,0.0135663172404854,782.8343438070243,0.9739912179438924,774.1376274678805,1.246904341211955,1530.5815741452789,0.9739912179438924,2304.7192016131594,1.1104477795779237,53.309811893905845
UV_VISOR_AMBER,SLEEP_POD_POLYESTER,5,uv_visor,sleep_pod,-0.9593041446890244,19270.02541757595,0.0048682102027578,861.1350665848953,1.1832027790495996,1301.6457208019674,1.164431867723848,1000.2351640539656,1.164431867723848,2301.880884855933,1.1738173233867237,56.31731458202609
PANEL_2X4,PEBBLES_S,5,panel,pebbles,-0.6240537370367631,16839.944282279965,0.0007915596674364,773.5519388487066,1.40728230058391,1352.8641646203505,1.4450296801020734,935.4045207295658,1.40728230058391,2288.2686853499163,1.4261559903429917,68.22138611949588
UV_VISOR_AMBER,SLEEP_POD_POLYESTER,20,uv_visor,sleep_pod,-0.9584839001822808,19259.19503065382,0.0072021295326669,844.2214218180991,1.0755238504336255,1204.3639697645267,1.2454835641644526,1063.4972696214736,1.0755238504336255,2267.8612393860003,1.1605037072990392,55.26558498635412
