label,variant,ar1_alpha,log_clip,inv_beta,use_ar1,use_log,elapsed_s,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,dishes_day2,dishes_day3,dishes_day4,dishes_3day,gate_a,gate_b,gate_c,gate_d,gate_e,target,passed_strict,delta_fold_min,delta_fold_median,delta_mean,delta_dishes_3d,min_fold_delta,max_dd_ratio,sharpe
1b_a0.5_c7_b0.4,1b,0.5,7,0.4,True,True,71.3,461446,454110,461446,494220,461446,454110,461446,466533.6,1409775,22.0029,25100,21098,8309,14289,43696,True,True,True,True,True,True,True,7910,5188.0,5574.199999999953,17495,4397,1.0134862311233142,22.0029
1b_a2.5_c3_b0.2,1b,2.5,3,0.2,True,True,55.5,463654,454016,463654,493713,463654,454016,463654,467738.2,1411382,22.7213,25194,20591,10517,14195,45303,True,True,True,True,True,True,True,7816,7396.0,6778.799999999988,19102,3890,1.0172817572478399,22.7213
1b_a2.0_c3_b0.2,1b,2.0,3,0.2,True,True,56.7,462870,454016,462870,493952,462870,454016,462870,467315.6,1410838,22.4223,25194,20830,9734,14195,44759,True,True,True,True,True,True,True,7816,6612.0,6356.199999999953,18558,4129,1.0172817572478399,22.4223
1b_a1.0_c7_b0.1,1b,1.0,7,0.1,True,True,52.2,461636,453894,461636,494252,461636,453894,461636,466610.8,1409781,21.94,25098,21130,8499,14073,43702,True,True,True,True,True,True,True,7694,5378.0,5651.399999999965,17501,4429,1.0134054752483244,21.94
1b_a1.0_c7_b0.2,1b,1.0,7,0.2,True,True,46.3,461636,453894,461636,494252,461636,453894,461636,466610.8,1409781,21.94,25098,21130,8499,14073,43702,True,True,True,True,True,True,True,7694,5378.0,5651.399999999965,17501,4429,1.0134054752483244,21.94
1b_a1.0_c5_b0.2,1b,1.0,5,0.2,True,True,52.5,461446,453822,461446,494065,461446,453822,461446,466445.0,1409332,21.9765,25292,20943,8309,14001,43253,True,True,True,True,True,True,True,7622,5188.0,5485.599999999977,17052,4242,1.0212387951223452,21.9765
1b_a1.0_c5_b0.1,1b,1.0,5,0.1,True,True,56.8,461294,453822,461294,494204,461294,453822,461294,466381.6,1409320,21.8652,25292,21082,8158,14001,43241,True,True,True,True,True,True,True,7622,5036.0,5422.199999999953,17040,4381,1.0212387951223452,21.8652
1b_a1.0_c7_b0.4,1b,1.0,7,0.4,True,True,44.6,461444,453812,461444,494220,461444,453812,461444,466472.8,1409475,21.8843,25292,21098,8307,13991,43396,True,True,True,True,True,True,True,7612,5186.0,5513.399999999965,17195,4397,1.0212387951223452,21.8843
1b_a0.5_c5_b0.1,1b,0.5,5,0.1,True,True,199.2,461102,453798,461102,494016,461102,453798,461102,466224.0,1408916,21.9201,25098,20894,7966,13977,42837,True,True,True,True,True,True,True,7598,4844.0,5264.599999999977,16636,4193,1.0134054752483244,21.9201
1b_a0.5_c5_b0.4,1b,0.5,5,0.4,True,True,122.7,461446,453776,461446,494388,461446,453776,461446,466500.4,1409609,21.7764,25292,21266,8309,13955,43530,True,True,True,True,True,True,True,7576,5188.0,5541.0,17329,4565,1.0212387951223452,21.7764
1b_a1.0_c5_b0.4,1b,1.0,5,0.4,True,True,46.7,462116,453774,462116,494386,462116,453774,462116,466901.6,1410275,21.9168,25292,21264,8979,13953,44196,True,True,True,True,True,True,True,7574,5858.0,5942.199999999953,17995,4563,1.0212387951223452,21.9168
1b_a0.5_c5_b0.2,1b,0.5,5,0.2,True,True,199.0,461448,453676,461448,494016,461448,453676,461448,466407.2,1409139,21.9464,25292,20894,8311,13855,43060,True,True,True,True,True,True,True,7476,5190.0,5447.799999999988,16859,4193,1.0212387951223452,21.9464
1b_a0.5_c7_b0.2,1b,0.5,7,0.2,True,True,72.1,461638,453598,461638,494064,461638,453598,461638,466515.2,1409299,21.9282,25098,20942,8501,13777,43220,True,True,True,True,True,True,True,7398,5380.0,5555.799999999988,17019,4241,1.0134054752483244,21.9282
1b_a0.5_c7_b0.1,1b,0.5,7,0.1,True,True,43.6,461444,453598,461444,494064,461444,453598,461444,466398.8,1409105,21.8873,25098,20942,8307,13777,43026,True,True,True,True,True,True,True,7398,5186.0,5439.399999999965,16825,4241,1.0134054752483244,21.8873
1b_a1.0_c3_b0.6,1b,1.0,3,0.6,True,True,57.3,463596,453582,463596,492965,463596,453582,463596,467467.0,1410142,22.9637,25592,19843,10459,13761,44063,True,True,True,True,True,True,True,7382,7338.0,6507.599999999977,17862,3142,1.0333521763708309,22.9637
1b_a2.5_c7_b0.2,1b,2.5,7,0.2,True,True,45.7,463412,453574,463412,493712,463412,453574,463412,467504.4,1410697,22.4771,25098,20590,10275,13753,44618,True,True,True,True,True,True,True,7374,7154.0,6545.0,18417,3889,1.0134054752483244,22.4771
1b_a2.5_c7_b0.1,1b,2.5,7,0.1,True,True,45.7,463412,453574,463412,494049,463412,453574,463412,467571.8,1411034,22.281,25098,20927,10275,13753,44955,True,True,True,True,True,True,True,7374,7154.0,6612.399999999965,18754,4226,1.0134054752483244,22.281
